"","ref.het2.m","ref.het2.sd","ref.het3.m","ref.het3.sd","ref.het4.m","ref.het4.sd","ref.het5.m","ref.het5.sd"
"3Fr",47.3342465753425,8.08764182711184,170.683428571429,161.834249011114,0.0979897351377338,0.0590885679599488,0.724,0.887114359905306
"Alk",46.6082191780822,8.28758096151025,228.142148760331,162.962961375103,0.0697679850662963,0.0548266854795074,0.971698113207547,1.23117134661905
"Ane",46.4576271186441,9.33418955436248,97.0769230769231,57.6389069096872,0.0223821962295557,0.00599596475591107,0.0833333333333333,0.288675134594813
"Col",186.247252747253,20.6118361281828,260.073305670816,178.373313451381,0.235178748000674,0.0393444890272184,12.1016483516484,3.68424499555846
"Dia",79.8520547945206,9.1408410533071,203.357359176257,185.026202299113,0.22855288739242,0.0687854898801098,4.22465753424658,2.27116303784711
"Dts",33.0328767123288,8.6484460713497,1.54298642533937,7.96206795157519,0.149298013014848,0.099631136481242,0.00584795321637427,0.0764719112901873
"Geb",43.6849315068493,8.23967337772981,148.69985141159,237.085830990558,0.0915340142142726,0.0586511423638289,0.573529411764706,0.832882057230368
"Hag",126.421917808219,15.938672357875,249.351837372948,152.32568074761,0.204118891572308,0.0432917874885671,8.64383561643836,3.52530048214153
"Hus",305.262295081967,24.2623862795509,355.992897306896,235.744514190365,0.181563073201004,0.0406659702814017,24.9180327868852,5.19709881237347
"Mul",162.2,49.3705530150992,258.021290117572,170.21772129761,0.138951345299906,0.0322587955224234,7.45,3.94962002321226
"Odi",68.7008310249307,17.5554431057952,18.1374163664436,55.4088832300221,0.0825155336299667,0.0469269308366044,0.106824925816024,0.336978444761675
"Ros",22.2684931506849,7.34915852087336,91.6582827406765,142.912680226836,0.16102519034998,0.0849392059452074,0.325227963525836,0.658436358904832
"Sav",81.4986301369863,11.6193341758359,228.331347056699,152.764675990482,0.186800806124492,0.044580509445,5.06027397260274,2.42733628967936
"Sel",83.7028571428571,22.3298467269839,217.958426387219,121.847987050725,0.203513423943117,0.0539532695935575,4.58208955223881,2.21013759651955
"Wis",36.2054794520548,7.95412482685886,202.778275475924,162.242272549738,0.214011215496131,0.0768267447215892,1.93972602739726,1.45884378857302
"HTP",216.305921052632,23.0190442996445,304.910168922698,196.620007846423,0.13916885230308,0.0297153804571047,12.2147651006711,3.87960871085607
"NHC",89.0855263157895,12.8031267215274,408.239486159963,257.035729050785,0.248839198307333,0.0683411565229615,11.6610738255034,3.64907093769581
"Emr",138.148148148148,13.695903686058,307.599201065246,227.3094940281,0.144427067949032,0.0294225189560919,6.85185185185185,2.82891812850386
"Hsr",40.5,9.25440801978226,155.571895424837,127.37646433529,0.12964933735379,0.0593016394652591,0.966666666666667,0.901348644272056
"Ccm",28.8846153846154,7.78884804359116,7.88235294117647,29.9777564596309,0.0874335031685195,0.0374754371630419,0,0
